Date,Depth,Velocity E [cm/s],Velocity N [cm/s],Magnitude [cm/s],Direction [Degrees]
2024-04-01 07:00:00,2,-2.2,0.73,2.32,288.2
2024-04-01 07:00:00,3,-2.38,1.7,2.92,305.6
2024-04-01 07:00:00,4,-2.65,3.6,4.47,323.6
2024-04-01 07:00:00,5,-2.68,4.52,5.26,329.4
2024-04-01 07:00:00,6,-3.9,4.7,6.11,320.3
2024-04-01 07:00:00,7,-3.58,5.1,6.23,325.0
2024-04-01 07:00:00,8,-3.58,4.9,6.07,323.9
2024-04-01 07:00:00,9,-3.3,3.97,5.17,320.3
2024-04-01 07:00:00,10,-2.95,4.03,4.99,323.8
2024-04-01 07:00:00,11,-3.12,2.88,4.25,312.6
2024-04-01 07:00:00,12,-1.52,1.98,2.5,322.3
2024-04-01 07:00:00,13,-1.05,1.7,2.0,328.3
2024-04-01 07:00:00,14,-1.3,2.7,3.0,334.3
2024-04-01 07:00:00,15,-0.98,4.47,4.58,347.7
2024-04-01 07:00:00,16,-0.22,4.15,4.16,356.9
2024-04-01 07:00:00,17,2.08,4.15,4.64,26.6
2024-04-01 08:00:00,2,-1.62,-0.48,1.69,253.4
2024-04-01 08:00:00,3,-1.82,0.28,1.84,278.9
2024-04-01 08:00:00,4,-2.82,1.22,3.07,293.4
2024-04-01 08:00:00,5,-2.82,1.77,3.32,302.1
2024-04-01 08:00:00,6,-3.12,2.02,3.71,302.9
2024-04-01 08:00:00,7,-3.33,1.8,3.79,298.4
2024-04-01 08:00:00,8,-3.32,2.02,3.88,301.3
2024-04-01 08:00:00,9,-3.37,2.08,3.96,301.7
2024-04-01 08:00:00,10,-2.75,2.12,3.47,307.6
2024-04-01 08:00:00,11,-2.3,1.73,2.88,307.0
2024-04-01 08:00:00,12,-1.2,1.08,1.62,312.1
2024-04-01 08:00:00,13,-1.58,1.05,1.9,303.6
2024-04-01 08:00:00,14,-1.22,2.18,2.5,330.9
2024-04-01 08:00:00,15,-0.9,2.88,3.02,342.7
2024-04-01 08:00:00,16,-0.33,3.6,3.62,354.7
2024-04-01 08:00:00,17,1.85,2.67,3.25,34.8
2024-04-01 09:00:00,2,-2.52,0.17,2.52,273.8
2024-04-01 09:00:00,3,-2.08,0.65,2.18,287.3
2024-04-01 09:00:00,4,-2.4,1.33,2.75,299.1
2024-04-01 09:00:00,5,-2.5,1.2,2.77,295.6
2024-04-01 09:00:00,6,-2.87,1.32,3.15,294.7
2024-04-01 09:00:00,7,-2.32,1.4,2.71,301.1
2024-04-01 09:00:00,8,-2.42,0.97,2.6,291.8
2024-04-01 09:00:00,9,-1.82,1.23,2.2,304.2
2024-04-01 09:00:00,10,-2.0,1.82,2.7,312.2
2024-04-01 09:00:00,11,-1.9,1.52,2.43,308.6
2024-04-01 09:00:00,12,-1.27,1.32,1.83,316.1
2024-04-01 09:00:00,13,-1.28,1.33,1.85,316.1
2024-04-01 09:00:00,14,-1.03,1.7,1.99,328.7
2024-04-01 09:00:00,15,-0.92,1.93,2.14,334.6
2024-04-01 09:00:00,16,-0.18,2.13,2.14,355.1
2024-04-01 09:00:00,17,1.37,2.22,2.6,31.7
2024-04-01 10:00:00,2,-2.58,-0.37,2.61,261.9
2024-04-01 10:00:00,3,-2.27,0.38,2.3,279.6
2024-04-01 10:00:00,4,-2.08,0.97,2.3,294.9
2024-04-01 10:00:00,5,-2.72,1.0,2.89,290.2
2024-04-01 10:00:00,6,-2.57,0.97,2.74,290.6
2024-04-01 10:00:00,7,-2.18,0.85,2.34,291.3
2024-04-01 10:00:00,8,-1.77,0.97,2.01,298.7
2024-04-01 10:00:00,9,-1.77,1.48,2.31,310.0
2024-04-01 10:00:00,10,-1.55,1.42,2.1,312.4
2024-04-01 10:00:00,11,-1.87,1.9,2.66,315.5
2024-04-01 10:00:00,12,-1.53,2.48,2.92,328.3
2024-04-01 10:00:00,13,-1.25,2.45,2.75,333.0
2024-04-01 10:00:00,14,-1.32,2.03,2.42,327.1
2024-04-01 10:00:00,15,-0.38,1.2,1.26,342.3
2024-04-01 10:00:00,16,0.88,1.28,1.56,34.5
2024-04-01 10:00:00,17,2.23,1.15,2.51,62.8
2024-04-01 11:00:00,2,-2.22,0.07,2.22,271.7
2024-04-01 11:00:00,3,-2.17,0.63,2.26,286.3
2024-04-01 11:00:00,4,-2.13,0.8,2.28,290.6
2024-04-01 11:00:00,5,-2.28,0.93,2.47,292.2
2024-04-01 11:00:00,6,-2.2,0.88,2.37,291.9
2024-04-01 11:00:00,7,-2.17,0.42,2.21,280.9
2024-04-01 11:00:00,8,-2.1,0.68,2.21,288.0
2024-04-01 11:00:00,9,-2.23,1.08,2.48,295.9
2024-04-01 11:00:00,10,-1.73,1.57,2.34,312.1
2024-04-01 11:00:00,11,-1.4,1.85,2.32,322.9
2024-04-01 11:00:00,12,-1.63,2.27,2.79,324.2
2024-04-01 11:00:00,13,-1.08,1.93,2.22,330.7
2024-04-01 11:00:00,14,-0.47,1.47,1.54,342.3
2024-04-01 11:00:00,15,-1.05,1.02,1.46,314.1
2024-04-01 11:00:00,16,0.23,0.48,0.54,25.8
2024-04-01 11:00:00,17,2.78,0.33,2.8,83.2
2024-04-01 12:00:00,2,-2.93,0.47,2.97,279.0
2024-04-01 12:00:00,3,-2.4,0.27,2.41,276.3
2024-04-01 12:00:00,4,-1.75,0.58,1.84,288.4
2024-04-01 12:00:00,5,-1.57,0.92,1.82,300.3
2024-04-01 12:00:00,6,-1.68,1.23,2.09,306.2
2024-04-01 12:00:00,7,-1.87,0.5,1.93,285.0
2024-04-01 12:00:00,8,-2.02,0.47,2.07,283.0
2024-04-01 12:00:00,9,-1.63,0.43,1.69,284.9
2024-04-01 12:00:00,10,-1.5,0.62,1.62,292.3
2024-04-01 12:00:00,11,-1.48,1.6,2.18,317.2
2024-04-01 12:00:00,12,-1.4,1.7,2.2,320.5
2024-04-01 12:00:00,13,-0.8,1.47,1.67,331.4
2024-04-01 12:00:00,14,-1.03,1.17,1.56,318.5
2024-04-01 12:00:00,15,-0.87,0.3,0.92,289.1
2024-04-01 12:00:00,16,0.13,-0.2,0.24,146.3
2024-04-01 12:00:00,17,2.58,-1.45,2.96,119.3
2024-04-01 13:00:00,2,-3.2,2.5,4.06,308.0
2024-04-01 13:00:00,3,-3.05,1.08,3.24,289.6
2024-04-01 13:00:00,4,-2.35,1.25,2.66,298.0
2024-04-01 13:00:00,5,-1.82,1.48,2.35,309.2
