Date,Depth,Velocity E [cm/s],Velocity N [cm/s],Magnitude [cm/s],Direction [Degrees]
2024-07-16 08:00:00,2,-2.4,-0.12,2.4,267.2
2024-07-16 08:00:00,3,-1.62,-1.12,1.97,235.2
2024-07-16 08:00:00,4,0.32,-1.38,1.42,166.9
2024-07-16 08:00:00,5,0.91,-2.06,2.25,156.2
2024-07-16 08:00:00,6,2.23,-2.13,3.08,133.7
2024-07-16 08:00:00,7,4.13,-2.72,4.95,123.4
2024-07-16 08:00:00,8,3.9,-2.81,4.81,125.8
2024-07-16 08:00:00,9,1.73,-0.58,1.82,108.4
2024-07-16 08:00:00,10,1.55,0.03,1.55,88.9
2024-07-16 08:00:00,11,1.18,-0.15,1.19,97.4
2024-07-16 08:00:00,12,-1.06,0.42,1.14,291.7
2024-07-16 08:00:00,13,-0.48,-1.96,2.02,193.7
2024-07-16 08:00:00,14,-2.04,-2.98,3.61,214.3
2024-07-16 08:00:00,15,-0.6,-1.81,1.9,198.4
2024-07-16 08:00:00,16,1.29,-0.72,1.48,119.2
2024-07-16 09:00:00,2,-3.31,-1.36,3.58,247.6
2024-07-16 09:00:00,3,-1.07,-1.84,2.13,210.3
2024-07-16 09:00:00,4,0.31,-1.83,1.86,170.5
2024-07-16 09:00:00,5,2.39,-1.86,3.03,127.9
2024-07-16 09:00:00,6,4.37,-1.96,4.79,114.1
2024-07-16 09:00:00,7,4.15,-2.76,4.99,123.6
2024-07-16 09:00:00,8,2.43,-3.02,3.88,141.1
2024-07-16 09:00:00,9,0.97,-0.63,1.15,123.0
2024-07-16 09:00:00,10,1.01,-0.7,1.23,124.8
2024-07-16 09:00:00,11,1.38,-0.62,1.51,114.2
2024-07-16 09:00:00,12,1.21,1.05,1.61,49.0
2024-07-16 09:00:00,13,0.99,-1.67,1.95,149.3
2024-07-16 09:00:00,14,-0.69,-2.01,2.13,199.0
2024-07-16 09:00:00,15,0.19,-1.13,1.14,170.6
2024-07-16 09:00:00,16,1.19,-0.69,1.38,120.2
2024-07-16 10:00:00,2,-2.97,-1.44,3.3,244.1
2024-07-16 10:00:00,3,-1.24,-2.15,2.48,209.9
2024-07-16 10:00:00,4,1.02,-1.91,2.16,151.9
2024-07-16 10:00:00,5,3.54,-1.18,3.73,108.4
2024-07-16 10:00:00,6,4.51,-2.02,4.94,114.1
2024-07-16 10:00:00,7,3.45,-2.65,4.35,127.5
2024-07-16 10:00:00,8,0.83,-2.15,2.3,158.8
2024-07-16 10:00:00,9,0.91,-0.54,1.06,120.8
2024-07-16 10:00:00,10,0.87,-1.9,2.09,155.5
2024-07-16 10:00:00,11,1.52,-1.07,1.86,125.1
2024-07-16 10:00:00,12,2.92,-0.49,2.96,99.6
2024-07-16 10:00:00,13,1.75,-3.23,3.67,151.6
2024-07-16 10:00:00,14,-0.25,-3.01,3.02,184.7
2024-07-16 10:00:00,15,-0.01,-2.91,2.91,180.1
2024-07-16 10:00:00,16,-0.31,-2.23,2.25,187.8
2024-07-16 11:00:00,2,-2.86,-1.01,3.03,250.6
2024-07-16 11:00:00,3,-1.13,-1.52,1.89,216.5
2024-07-16 11:00:00,4,1.27,-1.2,1.74,133.5
2024-07-16 11:00:00,5,3.09,-0.72,3.17,103.1
2024-07-16 11:00:00,6,3.2,-1.61,3.58,116.7
