Date,Avg_Temp,Min_Temp,Max_Temp,Avg_Humidity,Avg_Wind_Speed,Max_Wind_Speed,Total_Rainfall
2025-01-01,9.97,4.5,17.9,85.85,1.16,2.3,0.1
2025-01-02,10.58,4.8,19.2,81.2,1.1,3.0,0.0
2025-01-03,11.64,5.2,21.6,68.04,1.77,5.2,0.0
2025-01-04,14.25,6.3,22.8,58.26,1.62,4.1,0.0
2025-01-05,19.07,13.2,24.8,35.98,3.4,9.3,0.0
2025-01-06,16.72,9.8,22.6,50.99,2.31,5.6,0.0
2025-01-07,12.99,5.9,22.0,59.95,1.39,3.2,0.0
2025-01-08,14.26,4.9,23.4,55.71,2.06,4.3,0.0
2025-01-09,15.13,5.3,24.1,50.92,1.98,5.0,0.0
2025-01-10,18.06,11.9,24.2,43.33,3.99,9.1,0.0
2025-01-11,13.89,8.7,19.6,78.88,1.39,4.3,0.5
2025-01-12,12.7,8.3,19.8,87.59,0.94,2.7,0.0
2025-01-13,16.26,7.9,25.6,61.27,1.95,5.2,0.0
2025-01-14,19.63,10.7,26.0,37.13,2.89,5.4,0.0
2025-01-15,15.84,10.3,23.4,54.83,1.49,3.7,0.0
2025-01-16,14.56,9.7,21.6,78.01,1.14,2.5,0.0
2025-01-17,13.59,8.2,20.5,80.26,1.21,3.3,0.0
2025-01-18,12.71,5.8,20.4,73.58,1.41,2.7,0.0
2025-01-19,12.85,4.9,21.3,73.51,1.42,3.0,0.0
2025-01-20,13.21,5.6,21.4,78.35,1.58,4.4,0.0
2025-01-21,16.19,7.1,24.6,54.54,2.16,4.8,0.0
2025-01-22,17.58,12.5,21.9,35.83,2.78,7.7,0.0
2025-01-23,13.91,8.2,19.6,77.53,1.33,2.6,1.3
2025-01-24,13.19,5.8,20.7,79.27,1.37,2.5,0.1
2025-01-25,12.95,6.1,21.3,73.4,1.28,2.7,0.0
2025-01-26,14.68,7.7,23.5,65.36,1.53,6.0,0.0
2025-01-27,16.22,9.7,22.8,58.94,1.65,4.5,0.0
2025-01-28,17.75,10.5,23.0,38.47,3.78,9.0,0.0
2025-01-29,17.09,9.2,24.8,44.35,1.71,5.1,0.0
2025-01-30,14.1,6.1,24.3,58.92,1.39,4.1,0.0
2025-01-31,13.69,6.1,20.7,64.79,1.5,2.8,0.5
2025-02-01,14.01,8.1,21.3,78.96,1.38,3.0,0.1
2025-02-02,13.26,5.1,21.9,71.19,1.36,2.9,0.0
2025-02-03,12.65,7.4,19.9,68.76,1.05,2.5,0.0
2025-02-04,12.78,4.0,22.8,68.5,1.37,2.9,0.0
2025-02-05,12.99,7.0,17.6,86.49,1.62,6.4,8.5
