day,temp_avg,temp_max,temp_min,humidity_avg,wind_speed_max,total_rain
2025-01-01,12.11,16.9,8.1,80.68,2.9,0.1
2025-01-02,12.83,18.3,8.6,74.35,2.8,0.0
2025-01-03,13.75,21.5,7.7,62.47,6.3,0.0
2025-01-04,15.57,22.0,9.5,55.14,5.6,0.0
2025-01-05,20.32,25.4,16.1,33.15,6.1,0.0
2025-01-06,17.51,21.7,13.3,48.41,4.3,0.0
2025-01-07,15.37,22.5,10.7,52.09,3.1,0.0
2025-01-08,15.9,22.7,9.5,51.49,4.3,0.0
2025-01-09,17.41,22.4,10.9,47.19,6.2,0.0
2025-01-10,18.68,23.6,14.9,46.58,6.5,0.0
2025-01-11,14.85,19.6,10.7,76.64,4.0,0.7
2025-01-12,14.42,19.1,11.9,83.79,2.3,0.0
2025-01-13,17.24,24.5,10.9,61.99,5.1,0.0
2025-01-14,19.94,26.0,15.1,40.35,5.3,0.0
2025-01-15,17.23,22.5,13.4,49.64,2.9,0.0
2025-01-16,15.9,21.9,12.7,70.76,2.3,0.0
2025-01-17,15.11,20.6,11.3,77.71,2.5,0.0
2025-01-18,14.5,20.2,9.6,70.49,6.3,0.0
2025-01-19,14.1,20.6,9.4,71.33,2.7,0.0
2025-01-20,14.96,21.8,9.7,72.85,4.5,0.0
2025-01-21,16.97,24.1,10.4,51.9,4.7,0.0
2025-01-22,17.74,20.3,14.1,40.23,6.5,0.0
2025-01-23,14.93,18.7,11.5,70.81,3.2,0.7
2025-01-24,14.4,20.1,9.5,75.49,3.0,0.0
2025-01-25,14.29,20.2,9.5,73.78,2.3,0.0
2025-01-26,15.96,21.7,10.7,62.09,4.4,0.0
2025-01-27,17.16,22.4,12.5,56.3,4.1,0.0
2025-01-28,17.74,22.7,13.1,41.58,7.6,0.0
2025-01-29,18.47,24.7,13.9,40.41,6.2,0.0
2025-01-30,16.22,23.4,10.5,52.14,3.3,0.0
2025-01-31,14.98,20.5,10.0,63.51,3.4,0.5
2025-02-01,14.97,21.0,11.0,78.61,2.4,0.0
2025-02-02,14.32,19.5,9.7,73.47,2.5,0.0
2025-02-03,14.51,19.7,10.4,64.19,2.9,0.0
2025-02-04,14.35,21.7,8.6,64.57,3.5,0.0
2025-02-05,13.57,17.2,10.9,85.39,6.0,11.8
2025-02-06,12.09,16.9,9.3,68.82,7.5,5.4
2025-02-07,12.01,15.4,8.1,70.38,4.7,0.0
2025-02-08,11.88,17.9,5.8,61.69,4.3,0.0
2025-02-09,12.38,15.3,9.6,70.74,3.0,0.1
2025-02-10,12.31,15.2,9.7,81.81,3.6,1.5
2025-02-11,12.87,17.9,9.0,80.42,3.2,0.6
2025-02-12,11.05,13.9,8.1,89.33,2.6,8.8
2025-02-13,12.56,18.4,9.2,83.38,6.3,2.4
2025-02-14,11.89,17.6,7.3,74.74,2.7,0.0
2025-02-15,15.7,22.5,5.6,50.98,7.3,0.0
2025-02-16,17.06,21.9,10.9,48.61,6.0,0.0
2025-02-17,14.43,20.4,8.9,70.16,2.7,0.0
2025-02-18,15.22,21.8,9.7,67.1,2.7,0.0
2025-02-19,15.2,19.2,11.4,67.05,3.0,0.0
2025-02-20,14.14,20.5,10.3,77.06,8.7,3.1
2025-02-21,11.77,17.2,6.6,72.4,6.2,1.8
2025-02-22,10.0,14.8,5.8,61.59,6.2,0.0
2025-02-23,9.79,14.2,5.3,53.28,5.7,0.0
2025-02-24,8.0,13.9,3.6,57.36,4.4,0.1
2025-02-25,9.68,17.0,2.9,45.57,5.0,0.0
2025-02-26,11.22,19.0,4.8,59.54,4.8,0.0
2025-02-27,13.07,20.6,5.2,56.56,4.5,0.0
2025-02-28,13.0,21.0,6.6,62.96,4.7,0.0
2025-03-01,14.77,22.1,10.4,70.44,4.2,0.2
2025-03-02,14.7,22.1,8.7,67.49,2.7,0.0
2025-03-03,16.75,22.9,10.1,51.65,6.0,0.0
2025-03-04,17.32,23.6,11.7,55.59,3.2,0.0
2025-03-05,17.84,21.4,12.5,53.4,10.6,0.0
2025-03-06,19.28,23.0,15.1,48.48,8.3,0.0
2025-03-07,17.03,20.5,13.3,70.1,5.7,3.0
2025-03-08,16.81,24.1,13.3,76.82,6.6,0.0
2025-03-09,16.83,23.8,10.7,69.14,5.3,0.0
2025-03-10,17.67,24.5,12.8,73.11,4.2,0.0
2025-03-11,17.66,25.2,11.7,69.76,2.7,0.0
2025-03-12,21.6,31.3,13.0,52.08,4.4,0.0
2025-03-13,24.54,31.2,16.5,38.69,6.5,0.0
2025-03-14,25.39,33.9,19.0,40.58,3.8,0.0
2025-03-15,23.09,32.5,15.5,53.35,3.8,0.0
2025-03-16,23.4,32.7,15.2,46.78,2.8,0.0
2025-03-17,22.73,31.6,14.9,44.45,3.8,0.0
2025-03-18,22.54,31.5,16.5,52.78,6.7,0.1
2025-03-19,18.56,25.8,13.4,68.49,6.1,1.7
2025-03-20,13.92,19.4,11.1,73.81,7.9,3.2
2025-03-21,11.26,15.9,7.5,76.42,5.1,4.0
2025-03-22,13.66,20.1,7.9,63.81,4.0,0.0
2025-03-23,14.73,22.3,7.7,65.31,5.1,0.0
2025-03-24,17.04,24.9,9.9,58.91,3.1,0.0
2025-03-25,19.14,27.5,12.1,57.52,2.9,0.0
2025-03-26,21.95,31.0,14.3,55.69,2.8,0.0
2025-03-27,25.11,36.5,16.3,40.84,3.1,0.0
2025-03-28,26.26,35.3,20.0,35.78,6.0,0.0
