Date,Water_Temp_Avg_C,Water_Temp_Min_C,Water_Temp_Max_C,Wind_Speed_Avg_ms,Wind_Speed_Min_ms,Wind_Speed_Max_ms,Wind_Direction_Avg_deg,Air_Temp_Avg_C,Air_Temp_Min_C,Air_Temp_Max_C,Humidity_Avg_%,Rainfall_Sum_mm,Pressure_Avg_mbar
2025-02-10,16.56,16.53,16.57,1.81,0.2,3.5,250.87,13.13,12.9,13.4,82.31,0.1,783.26
2025-02-11,16.55,16.53,16.61,1.16,0.2,4.2,148.96,13.16,12.8,14.4,76.29,0.0,783.44
2025-02-12,16.51,16.45,16.57,1.01,0.2,4.5,104.64,12.4,11.7,13.9,78.18,1.05,784.21
2025-02-13,16.47,16.43,16.53,1.54,0.3,4.1,179.45,12.56,12.0,14.1,83.48,1.05,785.23
2025-02-14,16.47,16.41,16.64,1.86,0.3,4.0,162.23,12.5,10.9,14.0,75.18,0.0,785.86
2025-02-15,16.41,16.32,16.5,1.8,0.2,5.9,275.49,14.21,11.8,20.8,64.2,0.0,782.57
2025-02-16,16.57,16.41,16.94,1.87,0.4,4.9,153.55,17.1,14.4,20.2,43.43,0.0,779.72
2025-02-17,16.7,16.41,17.44,1.24,0.2,3.4,115.29,13.97,12.1,16.9,70.97,0.04,782.47
2025-02-18,17.03,16.62,17.82,1.26,0.3,3.3,170.57,14.34,0.0,16.7,70.48,0.0,783.11
2025-02-19,17.2,16.92,17.45,1.58,0.2,5.2,199.25,15.34,14.4,17.2,68.8,0.0,780.87
2025-02-20,16.66,16.36,16.92,2.29,0.2,10.1,179.25,14.93,13.5,16.0,79.87,3.39,779.55
2025-02-21,16.36,16.26,16.4,1.25,0.1,4.4,119.25,12.63,10.8,13.9,73.13,0.22,782.44
2025-02-22,16.24,16.2,16.3,2.44,0.4,6.7,115.07,10.61,9.5,11.9,60.53,0.0,784.64
2025-02-23,16.13,16.05,16.2,3.52,0.2,8.7,228.66,10.6,9.6,11.2,51.52,0.0,787.05
2025-02-24,16.08,16.03,16.12,1.44,0.3,4.9,125.33,9.27,7.8,10.6,53.81,0.0,789.44
2025-02-25,16.42,16.0,16.58,2.74,0.9,5.5,236.42,13.4,8.6,15.5,33.62,0.0,787.67
2025-02-26,16.1,15.96,16.64,1.35,0.3,4.1,118.02,11.66,8.6,15.8,62.49,0.0,787.16
2025-02-27,15.98,15.92,16.09,1.75,0.2,4.8,159.3,12.44,10.5,15.1,57.86,0.0,787.51
2025-02-28,15.99,15.92,16.09,2.02,0.3,4.7,151.07,12.82,11.0,15.9,57.64,0.0,785.1
2025-03-01,16.12,15.98,16.27,1.65,0.2,4.6,177.5,14.4,13.4,17.1,70.95,0.0,784.34
2025-03-02,16.63,16.02,18.46,1.37,0.4,6.1,167.8,14.67,11.6,18.9,69.32,0.0,786.53
2025-03-03,16.97,16.48,17.92,2.35,0.5,4.4,245.44,16.98,13.5,19.5,57.14,0.0,779.84
2025-03-04,16.61,16.36,17.25,1.99,0.5,5.8,254.35,17.65,15.2,20.3,60.88,0.0,775.19
2025-03-05,16.29,16.13,16.66,4.76,0.1,15.9,100.01,17.56,15.7,19.3,58.22,0.0,779.69
2025-03-06,16.3,16.19,16.43,4.01,0.8,12.9,75.21,18.98,16.9,20.5,53.28,0.0,781.47
2025-03-07,16.16,16.02,16.3,2.24,0.3,6.3,147.75,17.85,15.5,19.5,63.25,0.36,779.48
2025-03-08,16.21,16.15,16.33,2.13,0.1,6.6,209.19,15.83,15.1,18.5,81.04,0.0,778.63
2025-03-09,16.22,16.09,16.44,1.88,0.5,7.8,199.32,15.7,13.7,19.0,74.49,0.0,779.88
2025-03-10,16.49,16.25,17.15,2.45,0.1,7.0,249.01,17.33,14.7,20.9,75.76,0.0,782.49
2025-03-11,16.58,16.37,16.66,1.92,0.4,2.9,245.09,14.61,13.8,15.3,80.8,0.0,785.33
2025-03-12,19.09,18.04,21.09,1.89,0.2,6.9,208.15,20.58,16.1,26.2,58.7,0.0,783.16
2025-03-13,17.98,16.59,19.84,3.76,0.4,10.6,144.85,23.94,19.8,27.7,37.27,0.0,780.58
2025-03-14,17.44,16.96,18.27,2.26,0.2,6.9,217.25,22.12,19.1,26.8,50.87,0.0,780.27
2025-03-15,18.8,17.94,20.6,1.82,0.3,4.3,243.29,19.3,17.3,23.1,70.91,0.04,781.6
2025-03-16,19.38,18.44,21.05,1.7,0.1,3.2,281.62,20.14,18.1,25.8,67.55,0.0,781.47
2025-03-17,20.49,19.98,21.34,1.79,0.2,5.9,281.36,20.01,18.5,22.5,63.13,0.0,778.82
2025-03-18,20.25,17.88,21.05,2.09,0.1,4.8,222.13,20.69,18.9,22.9,62.21,0.0,776.12
2025-03-19,18.65,17.68,19.62,2.21,0.2,5.7,222.59,17.62,16.6,18.9,75.03,0.0,779.16
2025-03-20,17.71,17.03,18.71,4.84,1.0,8.8,221.03,15.19,12.5,17.5,65.24,0.98,779.74
2025-03-21,17.71,17.1,18.49,3.54,0.4,14.3,180.65,11.88,10.5,13.3,70.6,2.95,782.87
2025-03-22,17.12,16.99,17.42,1.06,0.3,3.1,134.7,13.21,12.0,15.6,60.79,0.0,785.26
2025-03-23,17.41,17.1,18.85,1.96,0.3,7.7,144.83,15.04,11.7,20.9,64.44,0.0,788.61
2025-03-24,18.49,17.26,19.65,1.92,0.2,5.0,211.42,18.36,13.3,23.1,59.76,0.01,788.86
2025-03-25,18.38,18.01,19.33,2.87,0.7,4.9,298.19,17.99,15.4,22.2,71.47,0.0,785.4
2025-03-26,19.72,18.13,21.84,1.44,0.2,4.5,258.74,20.82,17.2,26.4,65.03,0.0,780.34
2025-03-27,21.39,19.67,24.66,1.68,0.1,5.1,209.65,23.64,19.9,30.7,55.64,0.0,776.02
2025-03-28,20.98,20.71,21.67,2.19,0.2,4.8,277.71,22.86,21.2,26.0,51.99,0.0,774.12
2025-03-30,20.14,19.72,20.35,1.46,0.5,3.3,244.82,18.13,17.7,18.4,71.52,0.0,778.84
2025-03-31,19.92,19.31,20.81,2.25,0.4,7.0,144.85,19.38,16.2,26.4,60.22,0.0,778.27
2025-04-01,19.33,18.99,19.73,3.11,0.2,9.1,156.61,25.32,23.0,28.7,34.81,0.0,773.69
2025-04-02,19.68,19.26,20.07,3.42,0.4,9.5,227.12,20.6,18.6,25.2,65.37,0.0,777.34
2025-04-03,19.55,19.32,19.89,1.6,0.1,4.7,250.0,17.86,16.5,20.5,64.62,0.0,780.35
2025-04-04,19.67,19.59,19.87,1.96,0.4,4.7,213.57,17.47,15.9,19.3,64.95,0.0,778.91
2025-04-05,19.59,19.45,19.8,1.52,0.2,4.1,245.07,17.44,16.2,19.6,73.99,0.0,778.18
2025-04-06,19.76,19.44,20.43,1.93,0.2,5.4,188.67,19.44,16.5,24.9,60.27,0.0,776.24
2025-04-07,20.14,19.93,20.44,2.66,0.5,5.1,273.36,21.12,20.0,22.6,68.79,0.0,777.11
2025-04-08,20.01,19.71,20.41,1.79,0.4,4.4,252.48,19.64,18.6,20.6,62.52,0.0,777.86
2025-04-09,20.44,19.66,21.48,2.65,0.0,10.1,188.1,22.22,0.0,25.5,64.73,0.02,753.41
2025-04-10,19.52,19.17,19.78,,,,,,,,,0.0,
2025-04-11,19.32,18.87,19.58,,,,,,,,,0.0,
2025-04-12,19.38,18.95,19.74,,,,,,,,,0.0,
2025-04-13,19.58,19.19,20.46,,,,,,,,,0.0,
2025-04-14,19.37,19.19,20.17,,,,,,,,,0.0,
2025-04-15,19.3,19.01,19.69,,,,,,,,,0.0,
2025-04-16,19.99,19.01,22.38,,,,,,,,,0.0,
2025-04-17,20.3,19.26,22.22,,,,,,,,,0.0,
2025-04-18,21.15,19.87,24.65,,,,,,,,,0.0,
2025-04-19,21.39,20.46,25.26,,,,,,,,,0.0,
2025-04-20,21.21,20.51,24.52,,,,,,,,,0.0,
2025-04-21,21.31,20.54,24.12,,,,,,,,,0.0,
2025-04-22,21.89,20.73,25.05,,,,,,,,,0.0,
2025-04-23,21.96,21.3,23.06,,,,,,,,,0.0,
2025-04-24,21.7,21.21,23.12,,,,,,,,,0.0,
2025-04-25,21.8,21.29,23.0,,,,,,,,,0.0,
2025-04-26,21.7,21.24,22.75,,,,,,,,,0.0,
2025-04-27,22.11,21.28,23.97,,,,,,,,,0.0,
2025-04-28,22.42,21.51,25.35,,,,,,,,,0.0,
2025-04-29,22.39,21.99,24.08,,,,,,,,,0.0,
2025-04-30,22.59,21.94,24.19,,,,,,,,,0.0,
2025-05-01,22.23,21.79,23.33,,,,,,,,,0.0,
2025-05-02,22.37,21.78,23.91,,,,,,,,,0.0,
2025-05-03,22.58,21.95,24.36,,,,,,,,,0.0,
2025-05-04,22.49,22.01,23.95,,,,,,,,,0.0,
2025-05-05,22.32,22.07,22.6,,,,,,,,,0.0,
2025-05-06,23.04,22.19,26.43,,,,,,,,,0.0,
2025-05-07,23.21,22.31,25.71,,,,,,,,,0.0,
2025-05-08,24.1,22.82,27.89,,,,,,,,,0.0,
2025-05-09,24.52,23.23,27.76,,,,,,,,,0.0,
2025-05-10,25.02,24.15,29.16,,,,,,,,,0.0,
2025-05-11,24.97,24.03,27.68,,,,,,,,,0.0,
2025-05-12,24.54,23.45,25.93,,,,,,,,,0.0,
2025-05-13,24.85,23.59,26.09,,,,,,,,,0.0,
2025-05-14,24.65,24.11,25.15,,,,,,,,,0.0,
2025-05-15,24.35,23.91,25.83,,,,,,,,,0.0,
2025-05-16,24.84,23.75,26.72,,,,,,,,,0.0,
2025-05-17,25.87,24.71,28.75,,,,,,,,,0.0,
2025-05-18,25.25,24.09,27.64,,,,,,,,,0.0,
2025-05-19,24.52,23.85,25.75,,,,,,,,,0.0,
2025-05-20,24.76,23.76,27.56,,,,,,,,,0.0,
2025-05-21,24.87,23.72,27.42,,,,,,,,,0.0,
2025-05-22,25.76,24.69,28.21,,,,,,,,,0.0,
2025-05-23,25.04,24.31,26.0,,,,,,,,,0.0,
2025-05-24,25.29,24.22,27.75,,,,,,,,,0.0,
2025-05-25,25.75,24.27,28.45,,,,,,,,,0.0,
2025-05-26,26.11,24.88,29.44,,,,,,,,,0.0,
2025-05-27,25.36,24.81,26.14,,,,,,,,,0.0,
2025-05-28,24.97,24.64,25.46,,,,,,,,,0.0,
2025-05-29,24.93,24.52,26.21,,,,,,,,,0.0,
2025-05-30,25.44,24.51,27.41,,,,,,,,,0.0,
2025-05-31,26.03,24.7,28.81,,,,,,,,,0.0,
2025-06-01,25.82,25.26,27.67,,,,,,,,,0.0,
2025-06-02,25.35,24.84,26.39,,,,,,,,,0.0,
2025-06-03,24.98,24.39,25.54,,,,,,,,,0.0,
2025-06-04,25.4,24.38,27.08,,,,,,,,,0.0,
2025-06-05,26.43,25.47,30.2,,,,,,,,,0.0,
2025-06-06,26.68,25.86,29.92,,,,,,,,,0.0,
2025-06-07,26.69,25.84,29.3,,,,,,,,,0.0,
2025-06-08,26.61,25.86,29.0,,,,,,,,,0.0,
2025-06-09,26.7,25.86,29.17,,,,,,,,,0.0,
2025-06-10,27.51,25.9,30.36,,,,,,,,,0.0,
2025-06-11,27.35,26.59,29.87,,,,,,,,,0.0,
2025-06-12,27.62,26.59,30.8,,,,,,,,,0.0,
2025-06-13,27.26,26.44,30.82,,,,,,,,,0.0,
2025-06-14,27.43,26.72,30.28,,,,,,,,,0.0,
2025-06-15,27.17,26.74,29.35,,,,,,,,,0.0,
2025-06-16,27.35,26.64,30.65,,,,,,,,,0.0,
2025-06-17,27.49,26.64,30.35,,,,,,,,,0.0,
2025-06-18,27.62,26.69,30.25,,,,,,,,,0.0,
2025-06-19,27.6,26.97,30.04,,,,,,,,,0.0,
2025-06-20,27.51,26.86,29.74,,,,,,,,,0.0,
2025-06-21,27.65,26.48,29.98,,,,,,,,,0.0,
2025-06-22,27.91,26.63,30.55,,,,,,,,,0.0,
2025-06-23,27.68,26.88,30.26,,,,,,,,,0.0,
2025-06-24,28.13,27.17,30.52,,,,,,,,,0.0,
2025-06-25,28.09,27.16,31.4,,,,,,,,,0.0,
2025-06-26,28.29,27.13,30.4,,,,,,,,,0.0,
2025-06-27,28.45,27.32,31.38,,,,,,,,,0.0,
2025-06-28,28.57,27.62,31.86,,,,,,,,,0.0,
2025-06-29,27.85,27.6,29.16,,,,,,,,,0.0,
2025-08-11,31.38,31.06,31.79,,,,,,,,,0.0,
2025-08-12,,,,,,,,,,,,0.0,
2025-08-13,,,,,,,,,,,,0.0,
2025-08-14,,,,,,,,,,,,0.0,
2025-08-15,,,,,,,,,,,,0.0,
2025-08-16,,,,,,,,,,,,0.0,
2025-08-17,,,,,,,,,,,,0.0,
2025-08-18,30.77,30.47,31.16,6.89,0.1,12.6,245.83,30.98,28.7,33.0,59.31,0.0,774.4
2025-08-19,30.35,29.89,30.75,5.16,0.1,12.4,256.68,30.19,27.3,33.4,62.2,0.01,773.09
2025-08-20,30.1,29.89,30.3,6.05,0.9,10.7,255.15,30.85,28.3,34.2,61.94,0.0,771.49
2025-08-21,30.26,29.79,31.52,3.82,0.1,11.7,209.7,30.33,27.4,34.4,63.96,0.0,772.33
2025-08-22,30.4,29.84,32.1,3.41,0.0,10.5,226.92,30.86,28.0,36.0,66.4,0.07,772.57
2025-08-23,30.46,29.96,32.45,3.41,0.1,13.4,233.46,31.36,28.2,36.0,64.13,0.16,771.63
2025-08-24,30.38,30.05,31.82,4.54,0.0,12.5,216.85,30.96,28.3,35.3,66.26,0.11,772.01
2025-08-25,30.24,27.95,31.69,4.33,0.2,13.1,235.09,30.62,28.2,34.2,64.29,0.07,773.07
2025-08-26,30.25,29.91,30.88,4.14,0.1,11.7,233.13,30.41,27.9,34.3,62.74,0.03,773.87
2025-08-27,30.13,30.04,30.37,2.99,0.0,5.5,177.12,29.16,28.2,31.5,70.56,0.08,774.68
2025-08-31,29.81,29.54,30.35,7.86,1.4,12.7,267.07,30.56,27.9,32.8,59.4,0.21,775.93
2025-09-01,29.7,29.43,30.76,4.25,0.0,12.4,191.55,29.46,26.4,33.3,64.43,0.21,774.14
2025-09-02,29.59,29.37,30.17,5.24,0.0,13.3,220.08,29.91,28.0,32.8,64.78,0.03,771.71
2025-09-03,29.62,29.37,30.23,4.41,0.2,13.6,258.06,29.86,27.4,32.7,62.17,0.01,771.56
2025-09-04,29.69,29.27,30.89,3.47,0.1,11.0,217.4,29.59,26.7,34.1,63.14,0.28,772.37
2025-09-05,29.84,29.36,31.42,3.45,0.1,11.5,242.68,29.86,26.4,34.2,64.03,0.01,774.56
2025-09-06,29.82,29.37,31.79,3.66,0.1,11.7,228.39,29.74,26.7,34.7,63.77,0.0,775.48
2025-09-07,29.64,29.38,30.5,4.17,0.1,10.6,226.18,29.14,26.8,32.8,61.85,0.04,774.98
2025-09-08,29.52,29.2,30.24,4.9,0.1,12.1,223.18,29.03,26.5,32.7,63.21,0.0,774.21
2025-09-09,29.42,29.01,30.34,4.69,0.1,11.1,230.93,28.93,26.3,32.8,61.42,0.0,775.22
2025-09-10,29.65,29.13,31.44,3.51,0.1,10.9,210.9,28.89,25.9,34.1,61.61,0.0,776.2
2025-09-11,29.72,29.0,32.1,3.28,0.1,9.5,198.03,29.31,26.1,34.3,62.99,0.0,775.15
2025-09-12,29.73,29.12,31.28,2.97,0.1,10.2,226.63,29.53,26.3,34.9,63.53,0.0,775.46
2025-09-13,29.67,29.17,31.89,3.45,0.1,13.6,231.85,29.34,26.5,34.0,65.27,0.0,776.27
2025-09-14,29.84,29.19,31.56,2.83,0.1,9.3,233.07,29.62,26.2,35.2,66.57,0.0,776.31
2025-09-15,29.8,29.26,32.13,3.1,0.1,10.5,229.74,29.59,26.6,34.3,66.5,0.0,776.06
2025-09-16,29.69,29.25,31.7,3.05,0.1,11.4,225.44,29.13,26.2,33.3,64.79,0.0,775.26
2025-09-17,29.62,29.26,31.05,3.8,0.1,11.0,228.31,29.02,26.7,33.2,66.2,0.0,774.88
2025-09-18,29.39,29.21,30.15,5.72,0.1,12.7,200.99,29.02,26.4,33.1,65.97,0.0,774.93
2025-09-19,29.38,29.07,29.99,3.89,0.1,11.2,234.18,29.65,26.9,32.6,58.57,0.0,775.43
2025-09-20,29.55,28.93,30.6,1.83,0.1,5.2,188.19,29.6,25.5,35.3,47.34,0.0,775.56
2025-09-21,29.77,29.0,31.52,1.67,0.1,6.3,211.42,30.15,25.9,35.2,47.75,0.0,774.83
2025-09-22,29.62,28.93,30.91,2.38,0.1,6.5,201.31,31.36,27.7,37.1,44.62,0.0,775.81
2025-09-23,29.72,29.18,31.35,2.06,0.1,7.3,205.85,30.45,26.7,36.6,51.62,0.0,776.86
2025-09-24,29.35,29.04,30.83,3.65,0.1,12.9,187.61,29.15,26.9,33.8,61.91,0.0,776.67
2025-09-25,28.94,28.72,29.12,5.21,0.1,15.8,238.74,27.1,21.7,29.3,67.89,1.33,775.41
2025-09-26,28.92,28.57,29.83,3.94,0.2,11.1,225.19,27.9,25.4,31.1,67.26,0.0,776.38
2025-09-27,29.11,28.5,30.81,2.29,0.1,7.8,206.58,28.09,24.8,33.8,66.16,0.0,777.44
2025-09-28,29.05,28.47,30.29,2.29,0.1,7.1,191.81,28.84,25.0,34.8,51.91,0.0,777.56
2025-09-29,29.01,28.6,30.86,3.34,0.1,11.7,232.85,28.25,25.3,32.9,61.79,0.0,778.19
2025-09-30,28.77,28.44,29.99,3.72,0.1,10.7,247.22,27.79,25.0,31.0,64.65,0.0,778.23
2025-10-01,28.53,28.33,29.03,3.89,0.1,10.1,245.25,27.17,24.9,30.1,61.28,0.0,777.29
2025-10-02,28.66,28.32,29.68,3.22,0.2,8.9,227.93,27.25,24.1,32.4,60.69,0.0,776.59
2025-10-03,28.8,28.15,29.74,1.69,0.1,5.2,196.24,28.63,24.7,34.4,55.62,0.0,775.91
2025-10-04,28.97,28.39,31.22,2.25,0.1,7.6,202.78,29.44,27.1,33.9,60.61,0.0,778.83
2025-10-05,28.67,28.33,30.23,3.46,0.1,9.4,217.23,28.46,26.0,32.7,66.28,0.0,778.85
2025-10-06,28.32,28.1,28.91,5.03,0.2,10.9,239.12,27.68,25.8,30.5,57.33,0.0,778.19
2025-10-07,28.35,28.07,29.42,3.28,0.1,10.3,206.95,26.9,24.1,31.1,58.12,0.0,777.45
